id	term	definition	refs	seeAlso
PAPACY	Papacy	The supreme jurisdiction and ministry of the pope as shepherd of the whole Church. As successor of St. Peter, and therefore Bishop of Rome and Vicar of Christ, the pope is the perpetual and visible principle of unity in faith and communion in the Church.	882	Pope
PARABLES	Parables	A characteristic feature of the teaching of Jesus. Parables are simple images or comparisons which confront the hearer or reader with a radical choice about his invitation to enter the Kingdom of God.	546	
PARACLETE	Paraclete	A name for the Holy Spirit. The term was used by Jesus in the New Testament (cf. Jn 14:16) to indicate the promised gift of the Spirit as another consoler and advocate, who would continue his own mission among the disciples.	692	
PARADISE	Paradise	The symbolic description of the condition of our first parents before the Fall, who lived in a state of friendship with God in the happiness of original justice and holiness (374, 384). Paradise also signifies heaven, the state of those who live with Christ forever in the friendship and presence of God.	374,384,1023,1721	
PARISH	Parish	A stable community of the faithful within a particular church or diocese, whose pastoral care is confided by the bishop to a priest as pastor.	2179	
PAROUSIA	Parousia	The glorious return and appearance of our Lord and Savior Jesus Christ as judge of the living and the dead, at the end of time; the second coming of Christ, when history and all creation will achieve their fulfillment.	668,673,1001	
PARTICULAR_CHURCH	Particular Church			Diocese
PASCH_PASCHAL_LAMB	Pasch/paschal Lamb	Jesus’ saving death and its memorial in the Eucharist, associated with the Jewish feast of Passover (or Pasch) commemorating the deliverance of the Jewish people from death by the blood of the lamb sprinkled on the doorposts in Egypt, which the angel of death saw and “passed over.” Hence Jesus is acknowledged in the New Testament as the Lamb of God, who takes away the sins of the world; he is the Paschal Lamb, the symbol of Israel’s redemption at the first Passover. The Eucharist celebrates the new Passover, in which Jesus “passes over” to his Father by his death and Resurrection, thus anticipating the final Passover of the Church in the glory of the Kingdom.	571,608,671,1334,1335,1336,1337,1338,1339,1340	
PASCHAL_MYSTERY_SACRIFICE	Paschal Mystery/sacrifice	Christ’s work of redemption accomplished principally by his Passion, death, Resurrection, and glorious Ascension, whereby “dying he destroyed our death, rising he restored our life” (1067; cf. 654). The Paschal Mystery is celebrated and made present in the liturgy of the Church, and its saving effects are communicated through the sacraments (1076), especially the Eucharist, which renews the paschal sacrifice of Christ as the sacrifice offered by the Church.	571,654,1067,1076,1362,1363,1364,1365,1366,1367,1368,1369,1370,1371,1372	
PASSION	Passion	The suffering and death of Jesus (572, 602-616). Passion or Palm Sunday begins Holy Week, during which the annual liturgical celebration of the Paschal Mystery of Christ takes place.	560,572,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616	
PASSIONS__MORAL	Passions, Moral	The emotions or dispositions which incline us to good or evil actions, such as love and hate, hope and fear, joy and sadness, and anger.	1763	
PASSOVER	Passover			Pasch/Paschal Lamb
PASTOR_PASTORAL_OFFICE	Pastor/pastoral Office	The ministry of shepherding the faithful in the name of Christ. The Pope and bishops receive the pastoral office which they are to exercise with Christ the Good Shepherd as their model; they share their pastoral ministry with priests, to whom they give responsibility over a portion of the flock as pastors of parishes.	886,1560,2179	
PATRIARCH	Patriarch	A title given to the venerable ancestors or “fathers” of the Semitic peoples, Abraham, Isaac, and Jacob, who received God’s promise of election (61, 205). In the Church hierarchy, and especially among the Churches of the East, a patriarch is a senior bishop with jurisdiction over a larger unit of particular churches (patriarchate) of a certain rite or region or liturgical tradition.	61,205,887	
PATRISTIC	Patristic	Pertaining to the writings of the holy Fathers of the Church, who are privileged witnesses of the apostolic tradition.	78,688	Fathers of the Church
PEACE	Peace	One of the fruits of the Holy Spirit mentioned in Galatians 5:22-23 (736). Peace is a goal of Christian living, as indicated by Jesus who said “Blessed are the peacemakers, for they shall be called children of God” (1716). The Fifth Commandment requires us to preserve and work for peace, which was defined by St. Augustine as “the tranquility of order,” and which is the work of justice and the effect of charity.	736,1716,2304	
PENANCE	Penance	Interior penance: a conversion of heart toward God and away from sin, which implies the intention to change one’s life because of hope in divine mercy (1431). External acts of penance include fasting, prayer, and almsgiving (1434). The observance of certain penitential practices is obliged by the fourth precept of the Church.	1431,1434,2043	
PENANCE__SACRAMENT_OF	Penance, Sacrament Of	The liturgical celebration of God’s forgiveness of the sins of the penitent, who is thus reconciled with God and with the Church. The acts of the penitent—contrition, the confession of sins, and satisfaction or reparation—together with the prayer of absolution by the priest, constitute the essential elements of the Sacrament of Penance.	980,1422,1440,1448	
PENITENT_PENITENTIAL	Penitent/penitential	The sinner who repents of sin and seeks forgiveness (1451). In the early Church, public sinners belonged to an “order of penitents,” who did public penance for their sins, often for years (1447). Penitential acts or practices refer to those which dispose one for or flows from interior penance or conversion; such acts lead to and follow upon the celebration of the Sacrament of Penance.	1434,1447,1451	Satisfaction (for sin)
PENTATEUCH	Pentateuch	The first five books of the Old Testament: Genesis, Exodus, Leviticus, Numbers, and Deuteronomy.	120,702	
PENTECOST	Pentecost	The “fiftieth” day at the end of the seven weeks following Passover (Easter in the Christian dispensation). At the first Pentecost after the Resurrection and Ascension of Jesus, the Holy Spirit was manifested, given and communicated as a divine Person to the Church, fulfilling the paschal mystery of Christ according to his promise (726, 731; cf. 1287). Annually the Church celebrates the memory of the Pentecost event as the beginning of the new “age of the Church,” when Christ lives and acts in and with his Church.	726,731,1076,1287	
PEOPLE_OF_GOD	People Of God	A synonym for the Church, taken from the Old Testament people whom God chose, Israel. Christ instituted the new and eternal covenant by which a new priestly, prophetic, and royal People of God, the Church, participates in these offices of Christ and in the mission and service which flow from them.	761,783	
PERJURY	Perjury	Giving one’s word under oath falsely, or making a promise under oath without intending to keep it. Perjury violates the second and eighth commandments.	2152,2476	
PERSON__DIVINE	Person, Divine	Hypostasis in Greek; the term used to describe the Father, Son, and Holy Spirit in their real relation to and distinction from one another within the unity of the Blessed Trinity. Each of the three divine Persons is God.	252	Trinity
PERSON__HUMAN	Person, Human	The human individual, made in the image of God; not some thing but some one, a unity of spirit and matter, soul and body, capable of knowledge, self-possession, and freedom, who can enter into communion with other persons—and with God (357, 362; cf. 1700). The human person needs to live in society, which is a group of persons bound together organically by a principle of unity that goes beyond each one of them.	357,362,1700,1879	
PETER__SAINT	Peter, Saint	Simon, whom Jesus called Peter or “Rock,” upon whom he would build his Church (Mt 16:16-19). He was the first to confess Jesus to be the Christ, the Son of the living God (442). He was the first among the Apostles, and their head; the pope is his successor as Bishop of Rome and Vicar of Christ, and as pastor of the universal Church.	442,552,765,862,881	
PIETY	Piety	One of the seven gifts of the Holy Spirit which leads one to devotion to God (1831). Filial piety connotes an attitude of reverence and respect by children toward their parents (2215). Piety also refers to the religious sense of a people, and its expression in popular devotions.	1674,1831,2215	
POLYGAMY	Polygamy	The practice of having more than one wife at the same time, which is contrary to the unity of marriage between one man and one woman, and which offends against the dignity of woman.	1645,2387	
POPE	Pope	The successor of St. Peter as Bishop of Rome and Supreme Pontiff of the universal Catholic Church. The pope exercises a primacy of authority as Vicar of Christ and shepherd of the whole Church; he receives the divine assistance promised by Christ to the Church when he defines infallibly a doctrine of faith or morals.	880,881,882	Papacy
POVERTY	Poverty	The condition of want experienced by those who are poor, whom Christ called “blessed,” and for whom he had a special love (544). In imitation of Christ, the Church expresses her concern for the poor by working for justice and solidarity (2443). Poverty is one of the three evangelical counsels whose public profession in the Church is a constitutive element of consecrated life (915). Poverty of spirit signifies detachment from worldly things and voluntary humility.	544,915,2443,2544,2545,2546	
PRAISE	Praise	The form of prayer which focuses on giving recognition to God for his own sake, giving glory to Him for who he is (2639). In the liturgy of the Eucharist, the whole Church joins with Christ in giving praise and thanksgiving to the Father.	1358,2639	Doxology
PRAYER	Prayer	The elevation of the mind and heart to God in praise of his glory; a petition made to God for some desired good, or in thanksgiving for a good received, or in intercession for others before God. Through prayer the Christian experiences a communion with God through Christ in the Church.	2559,2560,2561,2562,2563,2564,2565	
PRECEPTS_OF_THE_CHURCH	Precepts Of The Church	Positive laws (sometimes called commandments) made by Church authorities to guarantee for the faithful the indispensable minimum in prayer and moral effort, for the sake of their growth in love of God and neighbor.	2041	
PRESBYTER	Presbyter	An “elder” or priest, a member of the order of priesthood; the presbyterate is one of the three degrees of the Sacrament of Holy Orders (1536, 1554). Presbyters or priests are co-workers with their bishops and form a unique sacerdotal college or “presbyterium” dedicated to assist their bishops in priestly service to the People of God (1567). Through the ministry of priests, the unique sacrifice of Christ on the cross is made present in the Eucharistic sacrifice of the Church.	1536,1554,1562,1567	Priesthood
PRESENTATION	Presentation	The presentation and dedication of Jesus to God by Mary and Joseph in the Temple (Lk 2:22-39), in accord with Mosaic Law concerning the first-born. At the Presentation, Simeon and Anna sum up the expectation of Israel for the long-awaited Messiah, the light of the nations and the glory of Israel, but also as a sign of contradiction (529). The presentation of the gifts, especially of bread and wine, is a preparatory rite for the liturgy of the Eucharist at Mass.	529,1346	
PRESUMPTION	Presumption	An act or attitude opposed to the theological virtue of hope. Presumption can take the form of trust in self without recognizing that salvation comes from God, or of an over-confidence in divine mercy.	2092	
PRIDE	Pride	One of the seven capital sins. Pride is undue self-esteem or self-love, which seeks attention and honor and sets oneself in competition with God.	1866	
PRIESTHOOD	Priesthood	(1) Of the faithful: The priestly people of God. Christ has made of his Church a “kingdom of priests,” and gives the faithful a share in his priesthood through the Sacraments of Baptism and Confirmation (784, 1119, 1546). (2) Ministerial: The ministerial priesthood received in the Sacrament of Holy Orders differs in essence from this common priesthood of all the faithful. It has as its purpose to serve the priesthood of all the faithful by building up and guiding the Church in the name of Christ, who is Head of the Body.	1,2,784,1119,1546,1547	Priesthood of Christ; Presbyter
PRIESTHOOD_OF_CHRIST	Priesthood Of Christ	The unique high priest, according to the order of Melchizedek. Christ fulfilled everything that the priesthood of the Old Covenant prefigured. (cf. Heb 5:10, 6:20). He offered himself once and for all (Heb 10:14), in a perfect sacrifice upon the cross. His priesthood is made present in a special way in the Church through the ministerial priesthood, conferred through the Sacrament of Holy Orders.	1539,1544,1547,1554	
PRIMACY	Primacy			Pope
PRIVATE_REVELATIONS	Private Revelations	Revelations made in the course of history which do not add to or form part of the deposit of faith, but rather may help people live out their faith more fully (67). Some of these private revelations have been recognized by the authority of the Church, which cannot accept so-called “revelations of faith” that claim to surpass or correct the Revelation of Christ confided to his Church.	67	
PROFESSION_OF_FAITH	Profession Of Faith	The synthesis (creed, “symbol of faith”) of the faith which summarizes the faith professed by Christians.	187	Creed
PROPHET	Prophet	One sent by God to form the people of the Old Covenant in the hope of salvation. The prophets are often authors of books of the Old Testament (702). The prophetic books constitute a major section of the Old Testament of the Bible (64, 120, 522, 2581). John the Baptist concludes the work of the prophets of the Old Covenant.	64,120,522,702,721,2581	
PROTESTANT	Protestant	A person who believes in Christ and has been baptized, but who does not profess the Catholic faith in its entirety, but rather is a member of a Protestant church or ecclesial community whose roots are in the Reformation, begun in the sixteenth century.	838	
PROTO-EVANGELIUM	Proto-Evangelium	The proto- or “first” Gospel: the passage in Genesis (3:15) that first mysteriously announces the promise of the Messiah and Redeemer.	410	
PROVIDENCE	Providence	The dispositions by which God guides his creation toward its perfection yet to be attained; the protection and governance of God over all creation.	302	
PRUDENCE	Prudence	The virtue which disposes a person to discern the good and choose the correct means to accomplish it. One of the cardinal moral virtues that dispose the Christian to live according to the law of Christ, prudence provides the proximate guidance for the judgment of conscience.	1806	
PSALM	Psalm	A prayer in the Book of Psalms of the Old Testament, assembled over several centuries; a collection of prayers in the form of hymns or poetry. The psalms have been used since Jesus’ time as the public prayer of the Church.	2585	
PSALTER	Psalter	The book of psalms arranged for liturgical use.	2587	
PUNISHMENT__ETERNAL	Punishment, Eternal	The penalty for unrepented mortal sin, separating the sinner from communion with God for all eternity; the condemnation of the unrepentant sinner to hell.	1035	
PUNISHMENT__TEMPORAL	Punishment, Temporal	Purification of the unhealthy attachment to creatures, which is a consequence of sin that perdures even after death. We must be purified either during our earthly life through prayer and a conversion which comes from fervent charity, or after death in purgatory.	1472	
PURGATORY	Purgatory	A state of final purification after death and before entrance into heaven for those who died in God’s friendship, but were only imperfectly purified; a final cleansing of human imperfection before one is able to enter the joy of heaven.	1031,1472	
RACISM	Racism	Unjust discrimination on the basis of a person’s race; a violation of human dignity, and a sin against justice.	1935	
REAL_PRESENCE	Real Presence	The unique, true presence of Christ in the Eucharist under the species or appearances of bread and wine. The Church invites the faithful to deepen their faith in the real presence of Christ through adoration and communion at the Eucharistic liturgy, and through adoration outside its celebration.	1378,1379	
RECONCILIATION__SACRAMENT_OF	Reconciliation, Sacrament Of	The sacramental celebration in which, through God’s mercy and forgiveness, the sinner is reconciled with God and also with the Church, Christ’s Body, which is wounded by sin.	1422,1442,1443,1444,1445,1468	Penance
REDEEMER_REDEMPTION	Redeemer/redemption	Jesus Christ, redeemer of mankind. Christ paid the price of his own sacrificial death on the cross to ransom us, to set us free from the slavery of sin, thus achieving our redemption.	517,571,601,1372	
RELIGION	Religion	A set of beliefs and practices followed by those committed to the service and worship of God. The first commandment requires us to believe in God, to worship and serve him, as the first duty of the virtue of religion.	2084,2135	
RELIGIOUS_LIFE	Religious Life			Consecrated Life
REMISSION_OF_SINS	Remission Of Sins	The forgiveness of sins, which is accomplished in us through faith and Baptism, as the fruit of the redemptive sacrifice of Christ on the cross (976, 1263). Christ gave the power to remit sins to his Apostles, and through them to the ministers of the Church (981). The remission of sins committed after Baptism is effected sacramentally through the Sacrament of Penance and Reconciliation.	976,981,1263,1446	
REPARATION	Reparation	Making amends for a wrong done or for an offense, especially for sin, which is an offense against God. By his death on the cross, the Son of God offered his life out of love for the Father to make reparation for our sinful disobedience (614). We are obliged to make reparation for personal sins against justice and truth, either through restitution of stolen goods or correcting the harm done to the other’s good name.	614,2412,2487	Satisfaction (for sin)
REPENTANCE	Repentance			Contrition; Penance
RESTITUTION	Restitution	The return of what has been unjustly taken from another.	2409,2412	
RESURRECTION_OF_CHRIST	Resurrection Of Christ	The bodily rising of Jesus from the dead on the third day after his death on the cross and burial in the tomb. The resurrection of Christ is the crowning truth of our faith in Christ.	638	
RESURRECTION_OF_THE_DEAD	Resurrection Of The Dead	The raising of the righteous, who will live forever with the risen Christ, on the last day. The eleventh article of the Christian creed states, “I believe in the resurrection of the body.” The resurrection of the body means not only that the immortal soul will live on after death, but that even our “mortal bodies” (Rom 8:11) will come to life again.	988	
REVELATION	Revelation	God’s communication of himself, by which he makes known the mystery of his divine plan, a gift of self-communication which is realized by deeds and words over time, and most fully by sending us his own divine Son, Jesus Christ.	50	
RITES	Rites	The diverse liturgical traditions in which the one catholic and apostolic faith has come to be expressed and celebrated in various cultures and lands; for example, in the West, the Roman and Ambrosian (Latin) rites; in the East, the Byzantine, Coptic (Alexandrian), Syriac, Armenian, Maronite, and Chaldean rites (1201-1203). “Rite” and “ritual” are sometimes interchanged, as in “the sacramental rite” or “the sacramental ritual.”.	1201,1202,1203	
ROSARY	Rosary	A prayer in honor of the Blessed Virgin Mary, which repeats the privileged Marian prayer Ave Maria, or Hail Mary, in “decades” of ten prayers, each preceded by the Pater Noster (“Our Father”) and concluded by the Gloria Patri (Glory Be to the Father), accompanied by meditation on the mysteries of Christ’s life. The rosary was developed by medieval piety in the Latin church as a popular substitute for the liturgical prayer of the Hours.	1674,2678,2708	
SABBATH	Sabbath	The Sabbath or seventh “day,” on which God rested after the work of the “six days” of creation was completed, as recounted in the opening narrative of the Bible. Creation is thus ordered to the Sabbath, the day to be kept holy to the praise and worship of God. Just as the seventh day or Sabbath completes the first creation, so the “eighth day,” Sunday, the day of the week on which Jesus rose from the dead, is celebrated as the “holy day” by Christians—the day on which the “new creation” began (345-349). Thus the Christian observance of Sunday fulfills the commandment to remember and keep holy the Sabbath day.	345,346,347,348,349,2175	
SACRAMENT	Sacrament	An efficacious sign of grace, instituted by Christ and entrusted to the Church, by which divine life is dispensed to us through the work of the Holy Spirit (774, 1131). The sacraments (called “mysteries” in the Eastern Churches) are seven in number: Baptism, Confirmation, Eucharist, Penance or Reconciliation, Anointing of the Sick, Holy Orders, and Matrimony.	774,1131,1210	
SACRAMENTALS	Sacramentals	Sacred signs which bear a certain resemblance to the sacraments, and by means of which spiritual effects are signified and obtained through the prayers of the Church.	1667	
SACRED_HEART	Sacred Heart	The symbol of the love with which Jesus continually loves the eternal Father and all human beings without exception.	478	
SACRIFICE	Sacrifice	A ritual offering made to God by a priest on behalf of the people, as a sign of adoration, gratitude, supplication, and communion (2099). The perfect sacrifice was Christ’s death on the cross; by this sacrifice, Christ accomplished our redemption as high priest of the new and eternal covenant (616). The sacrifice of Christ on the cross is commemorated and mysteriously made present in the Eucharistic sacrifice of the Church.	616,1357,1544,2099	
SACRILEGE	Sacrilege	Profanation of or irreverence toward persons, places, and things which are sacred, i.e., dedicated to God; sacrilege against the sacraments, especially the Eucharist, is a particularly grave offense against the first commandment.	2120	
SAINT	Saint	The “holy one” who leads a life in union with God through the grace of Christ and receives the reward of eternal life. The Church is called the communion of saints, of the holy ones.	823,828,946	Canonization
SALVATION	Salvation	The forgiveness of sins and restoration of friendship with God, which can be done by God alone.	169	
SANCTIFYING_GRACE	Sanctifying Grace	The grace which heals our human nature wounded by sin by giving us a share in the divine life of the Trinity. It is a habitual, supernatural gift which continues the work of sanctifying us—of making us “perfect,” holy, and Christlike.	1999	
SANCTUARY	Sanctuary	(1) The part of a church set apart for the principal rites of worship (cf. 1183). (2) A shrine or place of pilgrimage.	1,2,1183,1674	
SATAN	Satan	A fallen angel or the devil; the Evil One.	391,395,2851	
SATISFACTION__FOR_SIN_	Satisfaction (for Sin)	An act whereby the sinner makes amends for sin, especially in reparation to God for offenses against him. The penance given by the confessor in the Sacrament of Penance constitutes such satisfaction. All true satisfaction for sin must be a participation in the satisfaction for sin made by Christ through his death on the cross.	1459	Penance; Penitent/Penitential; Reparation
SAVIOR	Savior	Jesus (which means “God saves” in Hebrew). The Son of God became man to achieve our salvation; he is the unique savior of humanity.	430	
SCANDAL	Scandal	An attitude or behavior which leads another to do evil.	2284	
SCHISM	Schism	Refusal of submission to the Supreme Pontiff, or of communion with the members of the Church subject to him.	2089	
SCRIPTURE__SACRED	Scripture, Sacred	The sacred writings of the Old and New Testaments.	101	Bible
SEAL_OF_CONFESSION	Seal Of Confession	The confessor’s obligation to keep absolutely secret what a penitent has told to him in the Sacrament of Penance; also known as the “sacramental seal”.	1467	
SECOND_COMING_OF_CHRIST	Second Coming Of Christ			Parousia
SECULAR_INSTITUTE	Secular Institute			Institute|Secular
SENSUS_FIDEI	Sensus Fidei	A supernatural appreciation of the faith (sensus fidei) shown by the universal consent in matters of faith and morals manifested by the whole body of the faithful under the guidance of the Magisterium.	92	
SEPTUAGINT	Septuagint	A pre-Christian Greek translation of the Hebrew Scriptures made by Jewish scholars, and later adopted by Greek-speaking Christians.	213	
SIGN_OF_THE_CROSS	Sign Of The Cross	A sign in the form of a cross made by the Christian as a prayer honoring the Blessed Trinity, “in the name of the Father and of the Son and of the Holy Spirit”.	786,2157	
SIMONY	Simony	The buying or selling of spiritual things, which have God alone as their owner and master.	2121	
SIN	Sin	An offense against God as well as a fault against reason, truth, and right conscience. Sin is a deliberate thought, word, deed, or omission contrary to the eternal law of God. In judging the gravity of sin, it is customary to distinguish between mortal and venial sins.	1849,1853,1854	
SLANDER	Slander			Calumny
SLOTH	Sloth	A culpable lack of physical or spiritual effort; acedia or laziness. One of the capital sins.	1866,2094,2733	
SOCIAL_JUSTICE	Social Justice	The respect for the human person and the rights which flow from human dignity and guarantee it. Society must provide the conditions that allow people to obtain what is their due, according to their nature and vocation.	1928,1931	
SOCIAL_SIN	Social Sin	The effect of sin over time, which can affect society and its institutions to create “structures of sin,” by analogy called “social sin”.	1869	
SOCIAL_TEACHING	Social Teaching	The teaching (social doctrine) of the Church on the truth of revelation about human dignity, human solidarity, and the principles of justice and peace; the moral judgments about economic and social matters required by such truth and about the demands of justice and peace.	2419,2420,2421,2422	
SON_OF_GOD	Son Of God	A title frequently applied to Jesus in the Gospel, signifying his unique relationship to the Father. The second Person of the Blessed Trinity is called Son of God in reference to the Eternal Father. The revelation of his divine sonship is the principal dramatic development of the story of Jesus of Nazareth.	441,442,443,444,445	
SON_OF_MAN	Son Of Man	The title used by our Lord of himself in the Gospel. This title connotes a relationship with the eschatological figure of the “Son of man appearing in clouds and glory” in the prophecy of Daniel (Mk 13:26; Dan 7:13).	440,661	
SOUL	Soul	The spiritual principle of human beings. The soul is the subject of human consciousness and freedom; soul and body together form one unique human nature. Each human soul is individual and immortal, immediately created by God. The soul does not die with the body, from which it is separated by death, and with which it will be reunited in the final resurrection.	363,366,1703	
SPIRIT	Spirit			Holy Spirit
STEALING_THEFT	Stealing/theft	Unjustly taking and keeping the property of another, against the reasonable will of the owner (2408). Stealing is a violation of the seventh commandment of God, “You shall not steal.”.	2408	
SUICIDE	Suicide	The willful taking of one’s own life; a grievous sin against the fifth commandment. A human person is neither the author nor the supreme arbiter of his life, of which God is sovereign master.	2280	
SUNDAY	Sunday	The “Lord’s Day,” the principal day of the week for the Eucharistic celebration of the Church. Each Sunday Mass commemorates the resurrection of Christ on the first Easter Sunday, and is a reminder of the first day of creation for those who have become a “new creation in Christ”.	1166,2174,2180	
SUPERNATURAL	Supernatural	Surpassing the power of created beings; a result of God’s gracious initiative. Our vocation to eternal life is supernatural.	1722,1998	
SUPERSTITION	Superstition	The attribution of a kind of magical power to certain practices or objects, like charms or omens. Reliance on such power, rather than on trust in God, constitutes an offense against the honor due to God alone, as required by the first commandment.	2110	
SYNOD	Synod	A meeting of bishops of an ecclesiastical province or patriarchate (or even from the whole world, e.g., Synod of Bishops) to discuss the doctrinal and pastoral needs of the church. A diocesan synod is an assembly of priests and other members of Christ’s faithful who assist the bishop by offering advice about the needs of the diocese and by proposing legislation for him to enact (887, 911). The words “synod” and “council” are sometimes used interchangeably.	887,911	
TABERNACLE	Tabernacle	The receptacle in the church in which the consecrated Eucharist is reserved for Communion for the sick and dying. Reservation of the Eucharist in the tabernacle lends itself to private devotional visits and adoration of our Lord in the Blessed Sacrament by the faithful.	1183,1379	
TEACHING_OFFICE	Teaching Office			Magisterium
TEMPERANCE	Temperance	The cardinal moral virtue that moderates the attraction of pleasure and provides balance in the use of created goods. It ensures the mastery of the will over instinct, and keeps natural desires within proper limits.	1809	
TEMPLE	Temple	The house of worship built in Jerusalem by Solomon as God’s dwelling-place, for the exercise of the priestly rites of sacrifice in the Jewish religion. After the capture of Jerusalem in 70 a.d. by the Romans, the second temple was destroyed and never rebuilt. Jesus recognized the Temple as God’s dwelling, and a house of prayer; he even identified himself with the Temple by presenting himself as God’s definitive dwelling-place. The Holy Spirit makes the Church “the temple of the living God”.	583,797,2580	
TEMPTATION	Temptation	An attraction, either from outside oneself or from within, to act contrary to right reason and the commandments of God. Jesus himself during his life on earth was tempted, put to the test, to manifest both the opposition between himself and the devil and the triumph of his saving work over Satan.	538	
TESTAMENT	Testament	The name given to the two major parts of the Bible; a synonym for “covenant,” as in Old and New Covenants. The Old Testament recounts the history of salvation before the time of Christ (46 books), and the New Testament unfolds the saving work of Jesus and the apostolic beginnings of the Church (27 books).	120,121,124	Covenant
THEOLOGY	Theology	The study of God, based on divine revelation.	236,2033,2038	
THEOPHANY	Theophany	A revelation or visible appearance of God, as in the case of Moses at Mount Sinai.	2059	
TIME	Time			Eternal Life
TRADITION	Tradition	The living transmission of the message of the Gospel in the Church. The oral preaching of the Apostles, and the written message of salvation under the inspiration of the Holy Spirit (Bible), are conserved and handed on as the deposit of faith through the apostolic succession in the Church. Both the living Tradition and the written Scriptures have their common source in the revelation of God in Jesus Christ (75-82). The theological, liturgical, disciplinary, and devotional traditions of the local churches both contain and can be distinguished from this apostolic Tradition.	75,76,77,78,79,80,81,82,83	
TRANSFIGURATION	Transfiguration	The mysterious event in which Jesus, seen speaking with Moses and Elijah on the mountain, was transformed in appearance—in the sight of Peter, James, and John —as a moment of disclosure of his divine glory.	554	
TRANSUBSTANTIATION	Transubstantiation	The scholastic term used to designate the unique change of the Eucharistic bread and wine into the Body and Blood of Christ. “Transubstantiation” indicates that through the consecration of the bread and the wine there occurs the change of the entire substance of the bread into the substance of the Body of Christ, and of the entire substance of the wine into the Blood of Christ—even though the appearances or “species” of bread and wine remain.	1376	
TRIDUUM	Triduum	A liturgical celebration of three days duration, as in the Easter Triduum.	1168	
TRINITY	Trinity	The mystery of one God in three Persons: Father, Son, and Holy Spirit. The revealed truth of the Holy Trinity is at the very root of the Church’s living faith as expressed in the Creed. The mystery of the Trinity in itself is inaccessible to the human mind and is the object of faith only because it was revealed by Jesus Christ, the divine Son of the eternal Father.	232,237,249,253,254,255,256	Person|Divine
TYPOLOGY	Typology	The discernment of persons, events, or things in the Old Testament which prefigured, and thus served as a “type” (or prototype) of, the fulfillment of God’s plan in the person of Christ. The typology of the Old Testament which is made clear in the New Testament demonstrates the dynamic unity of the divine plan of salvation.	128	
UNITY__CHRISTIAN	Unity, Christian			Ecumenism
VENERATION__OF_SAINTS_	Veneration (of Saints)	Showing devotion and respect to Mary, the Apostles, and the martyrs, who were viewed as faithful witnesses to faith in Jesus Christ. Later, veneration was given to those who led a life of prayer and self-denial in giving witness to Christ, whose virtues were recognized and publicly proclaimed in their canonization as saints (828). Such veneration is often extended to the relics or remains of those recognized as saints; indeed, to many sacred objects and images. Veneration must be clearly distinguished from adoration and worship, which are due to God alone.	828,1154,1674,2132	
VENIAL_SIN	Venial Sin	Sin which does not destroy the divine life in the soul, as does mortal sin, though it diminishes and wounds it (1855). Venial sin is the failure to observe necessary moderation, in lesser matters of the moral law, or in grave matters acting without full knowledge or complete consent.	1855,1862	
VIATICUM	Viaticum	The Eucharist received by a dying person. It is the spiritual food for one’s “passing over” to the Father from this world. With Penance and the Anointing of the Sick, the reception of Holy Communion as Viaticum constitute the “last sacraments” of the Christian.	1524	
VICAR_OF_CHRIST	Vicar Of Christ	A title given to St. Peter, head of the Twelve Apostles, and to his successors, the popes (882); “vicar” means one who stands in for or acts for another.	882	
VICE	Vice	A habit acquired by repeated sin in violation of the proper norms of human morality. The vices are often linked with the seven capital sins. Repentance for sin and confession may restore grace to a soul, but the removal of the ingrained disposition to sin or vice requires much effort and self-denial, until the contrary virtue is acquired.	1866	
VIRGIN_BIRTH	Virgin Birth	The conception of Jesus in the womb of the Virgin Mary solely by the power of the Holy Spirit. The Church’s confession of faith in the virgin birth affirms that Jesus was conceived by the Holy Spirit without human seed.	496	Virgin Mary
VIRGIN_MARY	Virgin Mary	The mother of Jesus, who is honored as “ever-virgin” for her perpetual virginity.	499	
VIRTUE	Virtue	A habitual and firm disposition to do the good. The moral virtues are acquired through human effort aided by God’s grace; the theological virtues are gifts of God.	1803	Cardinal Virtues
VIRTUES__THEOLOGICAL	Virtues, Theological	Gifts infused by God into the souls of the faithful to make them capable of acting as his children and of meriting eternal life. The theological virtues are faith, hope, and charity.	1813	
VISION__BEATIFIC	Vision, Beatific			Beatific Vision
VOCATION	Vocation	The calling or destiny we have in this life and hereafter. God has created the human person to love and serve him; the fulfillment of this vocation is eternal happiness (1, 358, 1700). Christ calls the faithful to the perfection of holiness (825). The vocation of the laity consists in seeking the Kingdom of God by engaging in temporal affairs and directing them according to God’s will (898). Priestly and religious vocations are dedicated to the service of the Church as the universal sacrament of salvation.	1,358,825,873,898,931,1700	
VOW	Vow	A deliberate and free promise made to God, concerning a possible and better good which must be fulfilled by reason of the virtue of religion (2102). Religious vows, the public profession of the evangelical counsels in the Church, have an exemplary value in witnessing to the Kingdom to come.	915,2102	
WAY_OF_THE_CROSS	Way Of The Cross	A devotional exercise which follows the “way of the cross” in the Savior’s steps, observing stops or “stations” to meditate on the path Jesus took from the Praetorium in Jerusalem to Golgotha and the tomb. “By his holy Cross he has redeemed the world”.	2669	
WISDOM	Wisdom	A spiritual gift which enables one to know the purpose and plan of God; one of the seven gifts of the Holy Spirit (1831). Wisdom is also the name of one of the books of the Old Testament.	120,1831	
